kode_akun,nama_akun,tipe,parent_kode,kategori_akun,status,keterangan
11,ASET LANCAR,ASET,,1
11.1,KAS & BANK,ASET,11,,1,Kas dan rekening bank
11.1.01,KAS SEKOLAH,ASET,11.1,transaksi,1,
11.1.02,KAS BANK,ASET,11.1,transaksi,1,
11.2,PIUTANG,ASET,11,,1,
11.2.01,PINJAMAN GURU & KARYAWAN,ASET,11.2,transaksi,1,
11.3,PERSEDIAAN,ASET,11,,1,
11.3.01,PERSEDIAAN ATK & CETAKAN,ASET,11.3,transaksi,1,
12,ASET TIDAK LANCAR,ASET,,1
12.2,ASET TETAP,ASET,12,,1,
12.2.02,PERALATAN & INVENTARIS,ASET,12.2,transaksi,1,
12.2.09,AKUMULASI PENYUSUTAN ASET TETAP,ASET,12.2,transaksi,1,
21,KEWAJIBAN JANGKA PENDEK,LIABILITAS,,1
21.1,TABUNGAN SEKOLAH,LIABILITAS,21,,1,
21.1.01,TABUNGAN SISWA,LIABILITAS,21.1,tabungan,1,
21.1.02,TABUNGAN GURU,LIABILITAS,21.1,tabungan,1,
21.5,DANA TITIPAN,LIABILITAS,21,,1,
31,ASET BERSIH / EKUITAS,EKUITAS,,1
31.1,DANA TIDAK TERIKAT,EKUITAS,31,,1,
31.2,DANA TERIKAT TEMPORER,EKUITAS,31,,1,
31.3,DANA TERIKAT PERMANEN,EKUITAS,31,,1,
41,PENDAPATAN OPERASIONAL,PENDAPATAN,,1
41.1,PENDAPATAN SEKOLAH,PENDAPATAN,41,,1,
41.1.01,PENDAPATAN TAGIHAN,PENDAPATAN,41.1,transaksi,1,
41.1.02,PENDAPATAN SPMB,PENDAPATAN,41.1,transaksi,1,
51,BEBAN OPERASIONAL,BEBAN,,1
51.1,BEBAN GAJI,BEBAN,51,,1,
51.1.01,BEBAN GAJI GURU & KARYAWAN,BEBAN,51.1,transaksi,1,
51.2,BEBAN UMUM & ADMINISTRASI,BEBAN,51,,1,
51.2.01,BIAYA OPERASIONAL SEKOLAH,BEBAN,51.2,transaksi,1,
51.5,BEBAN LAIN-LAIN,BEBAN,51,,1,
51.5.01,BEBAN PENYUSUTAN ASET,BEBAN,51.5,transaksi,1,
